locationid,country,state,stateabbr,zipcode,latitude,longitude
1,United States,Alabama,AL,35045,32.840571122,-86.631860762
2,United States,Alaska,AK,99701,64.845079957001,-147.722059036
3,United States,Arizona,AZ,86336,34.86597028,-111.763811277
4,United States,Arkansas,AR,72201,34.748650124,-92.274490743
5,United States,California,CA,95354,37.638640123,-120.999999538
6,United States,Colorado,CO,81211,38.843840757,-106.133610921
7,United States,Connecticut,CT,06457,41.56266102,-72.649840952
8,United States,Delaware,DE,19943,39.008830667000495,-75.57774116799965
9,United States,District of Columbia,DC,20423,38.890371385,-77.031961127
10,United States,Florida,FL,32159,28.932040377,-81.928960539
11,United States,Georgia,GA,31201,32.839681093,-83.627580346
12,United States,Hawaii,HI,96813,21.304850435,-157.857749403
13,United States,Idaho,ID,83340,43.682630005,-114.363730042
14,United States,Illinois,IL,61701,40.485010283,-88.997710178
15,United States,Indiana,IN,46204,39.766910452,-86.149960194
16,United States,Iowa,IA,50595,42.469400913,-93.816490556
17,United States,Kansas,KS,67554,38.3477403,-98.200781227
18,United States,Kentucky,KY,40422,37.645970271,-84.774971048
19,United States,Louisiana,LA,71301,31.312660644,-92.445680071
20,United States,Maine,ME,04463,45.254228894000505,-68.98503133599962
21,United States,Maryland,MD,21202,39.29058096400047,-76.60926011099963
22,United States,Massachusetts,MA,01535,42.27687047,-72.082690675
23,United States,Michigan,MI,49738,44.661319543001,-84.71439027
24,United States,Minnesota,MN,56479,46.35564873600049,-94.79420050299969
25,United States,Mississippi,MS,39051,32.745510099,-89.538030825
26,United States,Missouri,MO,65018,38.635790776,-92.566300053
27,United States,Montana,MT,59457,47.066528972,-109.424420645
28,United States,Nebraska,NE,68874,41.641040988001,-99.365720623
29,United States,Nevada,NV,89310,39.49324039,-117.071840564
30,United States,New Hampshire,NH,03253,43.655950113,-71.50036092
31,United States,New Jersey,NJ,08527,40.130570048,-74.273691288
32,United States,New Mexico,NM,87036,34.520880952,-106.240580985
33,United States,New York,NY,13346,42.827001032,-75.543970427
34,United States,North Carolina,NC,27330,35.466220975,-79.159250463
35,United States,North Dakota,ND,58444,47.475319779,-100.118421049
36,United States,Ohio,OH,43055,40.060210141,-82.404260056
37,United States,Oklahoma,OK,73102,35.472031356,-97.521070214
38,United States,Oregon,OR,97750,44.567449424,-120.155031326
39,United States,Pennsylvania,PA,16801,40.793730152,-77.860700294
40,United States,Rhode Island,RI,02996,41.708280193,-71.522470314
41,United States,South Carolina,SC,29201,33.998821303,-81.045371207
42,United States,South Dakota,SD,57532,44.35313005300048,-100.3735306369997
43,United States,Tennessee,TN,37110,35.68094058,-85.774490914
44,United States,Texas,TX,76834,31.827240407,-99.426770206
45,United States,Utah,UT,84627,39.360700171,-111.587130635
46,United States,Vermont,VT,05091,43.625381239,-72.517640791
47,United States,Virginia,VA,23936,37.542680674,-78.457890463
48,United States,Washington,WA,98815,47.522278629,-120.47001079
49,United States,West Virginia,WV,26601,38.665510202,-80.712640135
50,United States,Wisconsin,WI,54494,44.393191174,-89.816370742
51,United States,Wyoming,WY,82649,43.235541343,-108.109830353
52,United States,Guam,GU,96923,13.444304,144.793731
53,United States,Puerto Rico,PR,00664,18.220833,-66.590149
